Chapter number,Macro book,Era,13-chapter cluster,10-chapter Walter cycle,Year or approximate year,Location,POV character or artifact type,Chapter title,Word target,Immediate human conflict,World-system advanced,Walter visible or invisible role,Canon event touched,Divergence status,New lore introduced,Character introduced or developed,Consequence seeded,Payoff target chapter,Editing warning
114,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,09.10 Walter chapter / shadow reveal,Walter-shadow 4/9,132,dye house,public-health inspector,The Boy Who Would Not Be Owned: Walter chapter / shadow reveal,750,"public-health inspector needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance continues; dragon losses and famine pressures (nearby pressure),Canon,Health and biology rule tagged as canon-compatible inference or fic invention; localized to dye house.,public-health inspector developed; tie to dye house and health and biology.,"A material habit, debt, enemy, record, or route from chapter 114 returns with altered stakes.",Ch. 153,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
115,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,09.11 Second-order consequence,Walter-shadow 5/9,132,harbor records office,charter voter,The Boy Who Would Not Be Owned: Second-order consequence,750,"charter voter needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Travel and communication,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance continues; dragon losses and famine pressures (nearby pressure),Canon,Travel and communication rule tagged as canon-compatible inference or fic invention; localized to harbor records office.,charter voter developed; tie to harbor records office and travel and communication.,"A material habit, debt, enemy, record, or route from chapter 115 returns with altered stakes.",Ch. 167,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
116,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,09.12 Moral complication,Walter-shadow 6/9,132,quarantine yard,archive student,The Boy Who Would Not Be Owned: Moral complication,750,"archive student needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance continues; dragon losses and famine pressures (nearby pressure),Canon,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to quarantine yard.,archive student developed; tie to quarantine yard and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 116 returns with altered stakes.",Ch. 181,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
117,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,09.13 Label-ledger-law-song artifact,Walter-shadow 7/9,132,Volantis,lantern code slip,The Boy Who Would Not Be Owned: Label-ledger-law-song artifact,750,"lantern code slip needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance continues; dragon losses and famine pressures (nearby pressure),Canon,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to Volantis.,lantern code slip developed; tie to Volantis and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 117 returns with altered stakes.",Ch. 195,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
118,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,10.01 Opening pressure,Walter-shadow 8/9,133,Long Bridge,slave laundress,The Boy Who Would Not Be Owned: Opening pressure,750,"slave laundress needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Travel and communication,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance ends midway through 131 AC (nearby pressure),Canon,Travel and communication rule tagged as canon-compatible inference or fic invention; localized to Long Bridge.,slave laundress developed; tie to Long Bridge and travel and communication.,"A material habit, debt, enemy, record, or route from chapter 118 returns with altered stakes.",Ch. 209,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
119,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,10.02 Local character introduced,Walter-shadow 9/9,133,dye house,temple slave novice,The Boy Who Would Not Be Owned: Local character introduced,750,"temple slave novice needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance ends midway through 131 AC (nearby pressure),Canon,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to dye house.,temple slave novice developed; tie to dye house and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 119 returns with altered stakes.",Ch. 132,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
120,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,10.03 Material system problem,Walter POV,133,harbor records office,Walter White,The Boy Who Would Not Be Owned: Material system problem,750,"Walter White needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,Direct interior decision reframes prior nine chapters.,Dance ends midway through 131 AC (nearby pressure),Canon,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to harbor records office.,Walter White developed; tie to harbor records office and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 120 returns with altered stakes.",Ch. 146,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
121,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,10.04 Social consequence,Walter-shadow 1/9,133,quarantine yard,dyer widow,The Boy Who Would Not Be Owned: Social consequence,750,"dyer widow needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance ends midway through 131 AC (nearby pressure),Canon,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to quarantine yard.,dyer widow developed; tie to quarantine yard and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 121 returns with altered stakes.",Ch. 160,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
122,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,10.05 Hidden Walter effect,Walter-shadow 2/9,133,Volantis,corpse-cart boy,The Boy Who Would Not Be Owned: Hidden Walter effect,750,"corpse-cart boy needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance ends midway through 131 AC (nearby pressure),Canon,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to Volantis.,corpse-cart boy developed; tie to Volantis and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 122 returns with altered stakes.",Ch. 174,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
123,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,10.06 Unexpected cost,Walter-shadow 3/9,133,Long Bridge,red priest copyist,The Boy Who Would Not Be Owned: Unexpected cost,750,"red priest copyist needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance ends midway through 131 AC (nearby pressure),Canon,War and security rule tagged as canon-compatible inference or fic invention; localized to Long Bridge.,red priest copyist developed; tie to Long Bridge and war and security.,"A material habit, debt, enemy, record, or route from chapter 123 returns with altered stakes.",Ch. 188,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
124,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,10.07 Counterforce reaction,Walter-shadow 4/9,133,dye house,slaver accountant,The Boy Who Would Not Be Owned: Counterforce reaction,750,"slaver accountant needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance ends midway through 131 AC (nearby pressure),Canon,Health and biology rule tagged as canon-compatible inference or fic invention; localized to dye house.,slaver accountant developed; tie to dye house and health and biology.,"A material habit, debt, enemy, record, or route from chapter 124 returns with altered stakes.",Ch. 202,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
125,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,10.08 Adaptation,Walter-shadow 5/9,133,harbor records office,ship caulker,The Boy Who Would Not Be Owned: Adaptation,750,"ship caulker needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Travel and communication,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance ends midway through 131 AC (nearby pressure),Canon,Travel and communication rule tagged as canon-compatible inference or fic invention; localized to harbor records office.,ship caulker developed; tie to harbor records office and travel and communication.,"A material habit, debt, enemy, record, or route from chapter 125 returns with altered stakes.",Ch. 216,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
126,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,10.09 Partial victory,Walter-shadow 6/9,133,quarantine yard,freedwoman organizer,The Boy Who Would Not Be Owned: Partial victory,750,"freedwoman organizer needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance ends midway through 131 AC (nearby pressure),Canon,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to quarantine yard.,freedwoman organizer developed; tie to quarantine yard and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 126 returns with altered stakes.",Ch. 139,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
127,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,10.10 Walter chapter / shadow reveal,Walter-shadow 7/9,134,Volantis,Braavosi notary,The Boy Who Would Not Be Owned: Walter chapter / shadow reveal,750,"Braavosi notary needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to Volantis.,Braavosi notary developed; tie to Volantis and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 127 returns with altered stakes.",Ch. 153,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
128,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,10.11 Second-order consequence,Walter-shadow 8/9,134,Long Bridge,glassworker apprentice,The Boy Who Would Not Be Owned: Second-order consequence,750,"glassworker apprentice needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to Long Bridge.,glassworker apprentice developed; tie to Long Bridge and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 128 returns with altered stakes.",Ch. 167,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
129,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,10.12 Moral complication,Walter-shadow 9/9,134,dye house,midwife,The Boy Who Would Not Be Owned: Moral complication,750,"midwife needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to dye house.,midwife developed; tie to dye house and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 129 returns with altered stakes.",Ch. 181,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
130,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,10.13 Label-ledger-law-song artifact,Walter POV,134,harbor records office,Walter White,The Boy Who Would Not Be Owned: Label-ledger-law-song artifact,750,"Walter White needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,Direct interior decision reframes prior nine chapters.,None,Fic invention,War and security rule tagged as canon-compatible inference or fic invention; localized to harbor records office.,Walter White developed; tie to harbor records office and war and security.,"A material habit, debt, enemy, record, or route from chapter 130 returns with altered stakes.",Ch. 195,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
131,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,11.01 Opening pressure,Walter-shadow 1/9,134,quarantine yard,wildling mother,The Boy Who Would Not Be Owned: Opening pressure,750,"wildling mother needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to quarantine yard.,wildling mother developed; tie to quarantine yard and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 131 returns with altered stakes.",Ch. 209,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
132,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,11.02 Local character introduced,Walter-shadow 2/9,134,Volantis,Night's Watch steward,The Boy Who Would Not Be Owned: Local character introduced,750,"Night's Watch steward needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to Volantis.,Night's Watch steward developed; tie to Volantis and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 132 returns with altered stakes.",Ch. 223,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
133,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,11.03 Material system problem,Walter-shadow 3/9,134,Long Bridge,maester dissenter,The Boy Who Would Not Be Owned: Material system problem,750,"maester dissenter needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,War and security rule tagged as canon-compatible inference or fic invention; localized to Long Bridge.,maester dissenter developed; tie to Long Bridge and war and security.,"A material habit, debt, enemy, record, or route from chapter 133 returns with altered stakes.",Ch. 146,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
134,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,11.04 Social consequence,Walter-shadow 4/9,134,dye house,septa teacher,The Boy Who Would Not Be Owned: Social consequence,750,"septa teacher needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Health and biology rule tagged as canon-compatible inference or fic invention; localized to dye house.,septa teacher developed; tie to dye house and health and biology.,"A material habit, debt, enemy, record, or route from chapter 134 returns with altered stakes.",Ch. 160,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
135,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,11.05 Hidden Walter effect,Walter-shadow 5/9,134,harbor records office,river farmer,The Boy Who Would Not Be Owned: Hidden Walter effect,750,"river farmer needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Travel and communication,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Travel and communication rule tagged as canon-compatible inference or fic invention; localized to harbor records office.,river farmer developed; tie to harbor records office and travel and communication.,"A material habit, debt, enemy, record, or route from chapter 135 returns with altered stakes.",Ch. 174,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
136,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,11.06 Unexpected cost,Walter-shadow 6/9,134,quarantine yard,lantern operator,The Boy Who Would Not Be Owned: Unexpected cost,750,"lantern operator needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to quarantine yard.,lantern operator developed; tie to quarantine yard and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 136 returns with altered stakes.",Ch. 188,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
137,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,11.07 Counterforce reaction,Walter-shadow 7/9,134,Volantis,dragon safety handler,The Boy Who Would Not Be Owned: Counterforce reaction,750,"dragon safety handler needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to Volantis.,dragon safety handler developed; tie to Volantis and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 137 returns with altered stakes.",Ch. 202,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
138,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,11.08 Adaptation,Walter-shadow 8/9,135,Long Bridge,public-health inspector,The Boy Who Would Not Be Owned: Adaptation,750,"public-health inspector needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to Long Bridge.,public-health inspector developed; tie to Long Bridge and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 138 returns with altered stakes.",Ch. 216,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
139,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,11.09 Partial victory,Walter-shadow 9/9,135,dye house,charter voter,The Boy Who Would Not Be Owned: Partial victory,750,"charter voter needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to dye house.,charter voter developed; tie to dye house and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 139 returns with altered stakes.",Ch. 230,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
140,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,11.10 Walter chapter / shadow reveal,Walter POV,135,harbor records office,Walter White,The Boy Who Would Not Be Owned: Walter chapter / shadow reveal,750,"Walter White needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,Direct interior decision reframes prior nine chapters.,None,Fic invention,War and security rule tagged as canon-compatible inference or fic invention; localized to harbor records office.,Walter White developed; tie to harbor records office and war and security.,"A material habit, debt, enemy, record, or route from chapter 140 returns with altered stakes.",Ch. 153,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
141,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,11.11 Second-order consequence,Walter-shadow 1/9,135,quarantine yard,sky-yard riveter,The Boy Who Would Not Be Owned: Second-order consequence,750,"sky-yard riveter needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Health and biology rule tagged as canon-compatible inference or fic invention; localized to quarantine yard.,sky-yard riveter developed; tie to quarantine yard and health and biology.,"A material habit, debt, enemy, record, or route from chapter 141 returns with altered stakes.",Ch. 167,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
142,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,11.12 Moral complication,Walter-shadow 2/9,135,Volantis,slave laundress,The Boy Who Would Not Be Owned: Moral complication,750,"slave laundress needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Travel and communication,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Travel and communication rule tagged as canon-compatible inference or fic invention; localized to Volantis.,slave laundress developed; tie to Volantis and travel and communication.,"A material habit, debt, enemy, record, or route from chapter 142 returns with altered stakes.",Ch. 181,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
143,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,11.13 Label-ledger-law-song artifact,Walter-shadow 3/9,135,Long Bridge,lantern code slip,The Boy Who Would Not Be Owned: Label-ledger-law-song artifact,750,"lantern code slip needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to Long Bridge.,lantern code slip developed; tie to Long Bridge and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 143 returns with altered stakes.",Ch. 195,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
144,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,12.01 Opening pressure,Walter-shadow 4/9,135,dye house,dock ration clerk,The Boy Who Would Not Be Owned: Opening pressure,750,"dock ration clerk needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Health and biology rule tagged as canon-compatible inference or fic invention; localized to dye house.,dock ration clerk developed; tie to dye house and health and biology.,"A material habit, debt, enemy, record, or route from chapter 144 returns with altered stakes.",Ch. 209,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
145,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,12.02 Local character introduced,Walter-shadow 5/9,135,harbor records office,dyer widow,The Boy Who Would Not Be Owned: Local character introduced,750,"dyer widow needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Travel and communication,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Travel and communication rule tagged as canon-compatible inference or fic invention; localized to harbor records office.,dyer widow developed; tie to harbor records office and travel and communication.,"A material habit, debt, enemy, record, or route from chapter 145 returns with altered stakes.",Ch. 223,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
146,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,12.03 Material system problem,Walter-shadow 6/9,135,quarantine yard,corpse-cart boy,The Boy Who Would Not Be Owned: Material system problem,750,"corpse-cart boy needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to quarantine yard.,corpse-cart boy developed; tie to quarantine yard and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 146 returns with altered stakes.",Ch. 237,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
147,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,12.04 Social consequence,Walter-shadow 7/9,136,Volantis,red priest copyist,The Boy Who Would Not Be Owned: Social consequence,750,"red priest copyist needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to Volantis.,red priest copyist developed; tie to Volantis and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 147 returns with altered stakes.",Ch. 160,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
148,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,12.05 Hidden Walter effect,Walter-shadow 8/9,136,Long Bridge,slaver accountant,The Boy Who Would Not Be Owned: Hidden Walter effect,750,"slaver accountant needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to Long Bridge.,slaver accountant developed; tie to Long Bridge and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 148 returns with altered stakes.",Ch. 174,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
149,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,12.06 Unexpected cost,Walter-shadow 9/9,136,dye house,ship caulker,The Boy Who Would Not Be Owned: Unexpected cost,750,"ship caulker needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to dye house.,ship caulker developed; tie to dye house and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 149 returns with altered stakes.",Ch. 188,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
150,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,12.07 Counterforce reaction,Walter POV,136,harbor records office,Walter White,The Boy Who Would Not Be Owned: Counterforce reaction,750,"Walter White needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,Direct interior decision reframes prior nine chapters.,None,Fic invention,War and security rule tagged as canon-compatible inference or fic invention; localized to harbor records office.,Walter White developed; tie to harbor records office and war and security.,"A material habit, debt, enemy, record, or route from chapter 150 returns with altered stakes.",Ch. 202,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
151,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,12.08 Adaptation,Walter-shadow 1/9,136,quarantine yard,Braavosi notary,The Boy Who Would Not Be Owned: Adaptation,750,"Braavosi notary needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Health and biology rule tagged as canon-compatible inference or fic invention; localized to quarantine yard.,Braavosi notary developed; tie to quarantine yard and health and biology.,"A material habit, debt, enemy, record, or route from chapter 151 returns with altered stakes.",Ch. 216,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
152,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,12.09 Partial victory,Walter-shadow 2/9,136,Volantis,glassworker apprentice,The Boy Who Would Not Be Owned: Partial victory,750,"glassworker apprentice needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Travel and communication,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Travel and communication rule tagged as canon-compatible inference or fic invention; localized to Volantis.,glassworker apprentice developed; tie to Volantis and travel and communication.,"A material habit, debt, enemy, record, or route from chapter 152 returns with altered stakes.",Ch. 230,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
153,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,12.10 Walter chapter / shadow reveal,Walter-shadow 3/9,136,Long Bridge,midwife,The Boy Who Would Not Be Owned: Walter chapter / shadow reveal,750,"midwife needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to Long Bridge.,midwife developed; tie to Long Bridge and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 153 returns with altered stakes.",Ch. 244,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
154,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,12.11 Second-order consequence,Walter-shadow 4/9,136,dye house,sellsword quartermaster,The Boy Who Would Not Be Owned: Second-order consequence,750,"sellsword quartermaster needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to dye house.,sellsword quartermaster developed; tie to dye house and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 154 returns with altered stakes.",Ch. 167,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
155,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,12.12 Moral complication,Walter-shadow 5/9,136,harbor records office,wildling mother,The Boy Who Would Not Be Owned: Moral complication,750,"wildling mother needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to harbor records office.,wildling mother developed; tie to harbor records office and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 155 returns with altered stakes.",Ch. 181,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
156,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,12.13 Label-ledger-law-song artifact,Walter-shadow 6/9,136,quarantine yard,lantern code slip,The Boy Who Would Not Be Owned: Label-ledger-law-song artifact,750,"lantern code slip needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to quarantine yard.,lantern code slip developed; tie to quarantine yard and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 156 returns with altered stakes.",Ch. 195,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
